subject,rho,pval,zscore,task,dataset,age,age_months,movie_FD,Age,AgeGroup1,sex,Unnamed: 0,session
sub-pixar067,0.124063016487009,0.0139860139860139,2.45349080965344,partlycloudy,partlycloudy,,95.03999999999999,0.2949413245964071,7.92,U082,F,,
sub-pixar068,0.1449239142412199,0.0039960039960039,3.0433771813621324,partlycloudy,partlycloudy,,95.03999999999999,0.3170365912910179,7.92,U082,F,,
sub-pixar069,0.0185613242082959,0.7082917082917083,0.3605521389344165,partlycloudy,partlycloudy,,95.52,0.4135390181317362,7.96,U082,M,,
sub-pixar070,0.0945838058668391,0.0629370629370629,1.8300340863547235,partlycloudy,partlycloudy,,85.80000000000001,0.2681662378035926,7.15,U082,F,,
sub-pixar071,0.3369374306069975,0.0009990009990009,6.829839886377464,partlycloudy,partlycloudy,,85.56,0.1751177530652695,7.13,U082,M,,
sub-pixar072,0.1380807865460155,0.0049950049950049,2.7739019806401406,partlycloudy,partlycloudy,,94.92,0.4287923278966466,7.91,U082,F,,
sub-pixar073,0.2274249770139202,0.0009990009990009,4.5121318689276935,partlycloudy,partlycloudy,,95.4,0.1942947061407185,7.95,U082,F,,
sub-pixar074,0.0677805152182435,0.1688311688311688,1.3521066967462234,partlycloudy,partlycloudy,,95.4,0.1990573409497005,7.95,U082,M,,
sub-pixar075,0.1575248583707923,0.0059940059940059,3.047389083624963,partlycloudy,partlycloudy,,93.96000000000001,1.103585540538922,7.83,U082,M,,
sub-pixar076,0.2064120150912879,0.0019980019980019,4.131310906235169,partlycloudy,partlycloudy,,84.72,0.3532320350538923,7.06,U082,M,,
sub-pixar077,0.1505335247796587,0.0029970029970029,2.9770489689087203,partlycloudy,partlycloudy,,113.39999999999999,0.1378495451360479,9.45,U13,M,,
sub-pixar078,0.2162554272609721,0.0009990009990009,4.29322647141258,partlycloudy,partlycloudy,,103.19999999999999,1.1512938808191615,8.6,U13,F,,
sub-pixar079,0.1929403247464426,0.0009990009990009,3.809000962973936,partlycloudy,partlycloudy,,84.84,0.1825168712994011,7.07,U082,M,,
sub-pixar080,0.2057572219722981,0.0009990009990009,4.211232655685601,partlycloudy,partlycloudy,,94.92,0.1168891193736526,7.91,U082,M,,
sub-pixar081,0.0675623931112385,0.1838161838161838,1.3465537643949557,partlycloudy,partlycloudy,,94.92,0.6572030702838323,7.91,U082,F,,
sub-pixar082,0.4005278363942322,0.0009990009990009,7.944095090445309,partlycloudy,partlycloudy,,117.12,0.1984840488383233,9.76,U13,F,,
sub-pixar083,0.1904687396442363,0.0009990009990009,3.894106786140141,partlycloudy,partlycloudy,,87.36,0.2023512923832335,7.28,U082,F,,
sub-pixar084,0.1430113023202762,0.0049950049950049,2.824691275502424,partlycloudy,partlycloudy,,85.19999999999999,0.2202086792874251,7.1,U082,M,,
sub-pixar085,0.0807981180755158,0.1118881118881118,1.6898640344007367,partlycloudy,partlycloudy,,113.76,0.3904336467664667,9.48,U13,F,,
sub-pixar086,0.2525986498028963,0.0009990009990009,5.139521504315033,partlycloudy,partlycloudy,,89.52,0.2414766596407186,7.46,U082,F,,
sub-pixar087,0.245653532658044,0.0009990009990009,4.802056767285443,partlycloudy,partlycloudy,,119.52000000000001,0.1510352387214371,9.96,U13,M,,
sub-pixar088,0.3346327984766231,0.0009990009990009,6.580398406124794,partlycloudy,partlycloudy,,92.52,0.0860816481778442,7.71,U082,M,,
sub-pixar089,0.2314959148034327,0.0009990009990009,4.654499215067136,partlycloudy,partlycloudy,,96.24,0.4467806414694608,8.02,U082,M,,
sub-pixar090,-0.0495547016671211,0.3116883116883117,-0.9841739523014962,partlycloudy,partlycloudy,,97.80000000000001,0.7569856137796408,8.15,U082,M,,
sub-pixar091,0.1096367882010402,0.0269730269730269,2.288445043166292,partlycloudy,partlycloudy,,116.39999999999999,0.2094374886378442,9.7,U13,M,,
sub-pixar092,0.3600443243998469,0.0009990009990009,7.536734835418887,partlycloudy,partlycloudy,,101.76,0.1776062124335329,8.48,U13,M,,
sub-pixar093,0.3278327675726835,0.0009990009990009,6.328074915828957,partlycloudy,partlycloudy,,103.08,0.2056962477005988,8.59,U13,F,,
sub-pixar094,0.2271251409298622,0.0009990009990009,4.418180693989496,partlycloudy,partlycloudy,,114.24,0.1997433553892214,9.52,U13,F,,
sub-pixar095,0.2716837832923084,0.0009990009990009,5.476713132253984,partlycloudy,partlycloudy,,119.28,0.1817325004011976,9.94,U13,F,,
sub-pixar096,0.0519944130670612,0.2987012987012987,1.0644001912523098,partlycloudy,partlycloudy,,85.56,0.1593719757868264,7.13,U082,F,,
sub-pixar097,0.0848948972436243,0.0989010989010989,1.7003977893355051,partlycloudy,partlycloudy,,106.44,0.4531126187508983,8.87,U13,F,,
sub-pixar098,0.2866771020489298,0.0009990009990009,5.602292048174324,partlycloudy,partlycloudy,,122.28,0.1015891462994012,10.19,U13,M,,
sub-pixar099,0.1961393113046688,0.0009990009990009,4.043514809811984,partlycloudy,partlycloudy,,91.92,0.2320234081275448,7.66,U082,M,,
sub-pixar100,0.2695784597693931,0.0009990009990009,5.212581115211977,partlycloudy,partlycloudy,,115.08,0.2791477828802394,9.59,U13,M,,
sub-pixar101,0.2122909473078795,0.0009990009990009,4.27572022450913,partlycloudy,partlycloudy,,134.04,0.1139947624227544,11.17,U13,M,,
sub-pixar102,0.2965954283752033,0.0009990009990009,5.870992785110509,partlycloudy,partlycloudy,,134.04,0.2684747596706586,11.17,U13,F,,
sub-pixar103,-0.0023226783877449,0.967032967032967,-0.0345607730699528,partlycloudy,partlycloudy,,126.60000000000001,0.8325528783365265,10.55,U13,M,,
sub-pixar104,-0.1753360072256568,0.0019980019980019,-3.343892888196829,partlycloudy,partlycloudy,,102.84,0.9773828639640726,8.57,U13,F,,
sub-pixar105,0.1140398343635764,0.0269730269730269,2.2738077549728914,partlycloudy,partlycloudy,,103.92,0.5879703766718061,8.66,U13,M,,
sub-pixar106,-0.1515808689729941,0.0049950049950049,-3.0857129328090758,partlycloudy,partlycloudy,,96.24,0.4565173215868263,8.02,U082,M,,
sub-pixar107,0.1979449622726699,0.0009990009990009,4.062084316960054,partlycloudy,partlycloudy,,138.12,0.1484634594778442,11.51,U13,M,,
sub-pixar108,-0.0566669146879883,0.2597402597402597,-1.13685679024526,partlycloudy,partlycloudy,,128.39999999999998,0.3328561856360478,10.7,U13,F,,
sub-pixar109,0.2736139275400484,0.0009990009990009,5.496019263266913,partlycloudy,partlycloudy,,124.56,0.2289873026946109,10.38,U13,F,,
sub-pixar110,0.2014544801192065,0.0009990009990009,4.069066359951945,partlycloudy,partlycloudy,,129.35999999999999,0.3363300079197606,10.78,U13,F,,
sub-pixar111,0.204796492988411,0.0009990009990009,4.007004810245427,partlycloudy,partlycloudy,,103.44,0.5193140277419163,8.62,U13,F,,
sub-pixar112,0.1230666708938655,0.0219780219780219,2.328971091467336,partlycloudy,partlycloudy,,144.60000000000002,0.2211690470299399,12.05,U13,M,,
sub-pixar113,0.1461725692300025,0.0049950049950049,2.84430334932169,partlycloudy,partlycloudy,,123.47999999999999,0.2067255701556886,10.29,U13,F,,
sub-pixar114,0.0790025785680211,0.1118881118881118,1.6517424912964325,partlycloudy,partlycloudy,,89.16,0.7090656250664673,7.43,U082,M,,
sub-pixar115,0.1573046360585681,0.0039960039960039,3.1211672242246005,partlycloudy,partlycloudy,,116.16,0.077676116681437,9.68,U13,F,,
sub-pixar116,0.0726594257719809,0.1748251748251748,1.3425527503896504,partlycloudy,partlycloudy,,92.16,0.6071296845670656,7.68,U082,F,,
sub-pixar117,0.3442864394332516,0.0009990009990009,7.010893720682368,partlycloudy,partlycloudy,,147.60000000000002,0.3251889250538922,12.3,U13,M,,
